OBJECTID *,name,x,y,z,floor
447,The Collegeway,608195.7047,4822206.333,110.1963,1
448,The Collegeway,608192.5501,4822203.134,110.0698,1
449,The Collegeway,608192.5501,4822203.134,110.0698,1
450,The Collegeway,608184.7603,4822196.864,109.8275,1
451,The Collegeway,608184.7603,4822196.864,109.8275,1
452,The Collegeway,608182.8896,4822195.358,109.7737,1
453,The Collegeway,608182.8896,4822195.358,109.7737,1
454,The Collegeway,608173.899,4822191.148,109.5731,1
455,The Collegeway,608173.899,4822191.148,109.5731,1
456,The Collegeway,608167.0941,4822189.205,109.3657,1
457,The Collegeway,608167.0941,4822189.205,109.3657,1
458,The Collegeway,608159.502,4822187.972,108.9508,1
459,The Collegeway,608159.502,4822187.972,108.9508,1
460,The Collegeway,608151.2929,4822187.917,108.6838,1
461,The Collegeway,608151.2929,4822187.917,108.6838,1
462,The Collegeway,608141.9211,4822189.311,108.586,1
463,The Collegeway,608141.9211,4822189.311,108.586,1
464,The Collegeway,608132.6138,4822192.968,108.8634,1
465,The Collegeway,608132.6138,4822192.968,108.8634,1
466,The Collegeway,608130.894,4822193.643,108.9405,1
467,The Collegeway,608130.894,4822193.643,108.9405,1
468,The Collegeway,608122.2145,4822198.61,109.3995,1
469,The Collegeway,608122.2145,4822198.61,109.3995,1
470,The Collegeway,608117.6572,4822201.218,109.594,1
471,The Collegeway,608117.6572,4822201.218,109.594,1
472,The Collegeway,608109.258,4822206.645,109.9693,1
473,The Collegeway,608092.4596,4822217.499,111.0495,1
474,The Collegeway,608089.2575,4822219.568,111.1711,1
475,The Collegeway,608100.8588,4822212.072,110.4234,1
476,The Collegeway,608092.4596,4822217.499,111.0495,1
477,The Collegeway,608109.258,4822206.645,109.9693,1
478,The Collegeway,608100.8588,4822212.072,110.4234,1
479,The Collegeway,608089.2575,4822219.568,111.1711,1
480,The Collegeway,608082.2914,4822223.122,111.4831,1
481,The Collegeway,608082.2914,4822223.122,111.4831,1
482,The Collegeway,608076.5353,4822225.296,111.7644,1
483,The Collegeway,608076.5353,4822225.296,111.7644,1
484,The Collegeway,608070.3866,4822226.263,112.0469,1
485,The Collegeway,608070.3866,4822226.263,112.0469,1
486,The Collegeway,608063.7394,4822226.067,112.0415,1
487,The Collegeway,608063.7394,4822226.067,112.0415,1
488,The Collegeway,608058.2661,4822224.224,112.0366,1
489,The Collegeway,608058.2661,4822224.224,112.0366,1
490,The Collegeway,608053.2203,4822221.432,112.0296,1
491,The Collegeway,608053.2203,4822221.432,112.0296,1
492,The Collegeway,608049.1866,4822217.501,111.9378,1
493,The Collegeway,608049.1866,4822217.501,111.9378,1
494,The Collegeway,608043.3507,4822209.381,111.6991,1
495,The Collegeway,608043.3507,4822209.381,111.6991,1
496,The Collegeway,608039.9709,4822204.678,111.6391,1
497,The Collegeway,608039.9709,4822204.678,111.6391,1
498,The Collegeway,608034.1351,4822196.557,111.6953,1
499,The Collegeway,608034.1351,4822196.557,111.6953,1
500,The Collegeway,608032.9523,4822194.911,111.711,1
501, ,608171.428,4822361.152,118.6609,1
502, ,608171.2489,4822361.124,118.6647,1
503, ,608151.6695,4822358.054,118.2158,1
504, ,608143.403,4822356.757,117.9213,1
505, ,608171.2489,4822361.124,118.6647,1
506, ,608161.5487,4822359.603,118.6745,1
507, ,608161.5487,4822359.603,118.6745,1
