OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
133,Polyline Z,1.594842,1.198972,unknown,sidewalk,10.000027,607924.5859,4822362.703,125.0978,607919.4547,4822371.286,125.2177,1
134,Polyline Z,2.204008,1.943489,unknown,sidewalk,6.716614,607919.4547,4822371.286,125.2177,607916.0083,4822377.051,125.3482,1
135,Polyline Z,2.610836,2.494218,unknown,sidewalk,4.463989,607916.0083,4822377.051,125.3482,607914.623,4822381.294,125.4595,1
136,Polyline Z,2.689515,2.660743,unknown,sidewalk,4.404047,607914.623,4822381.294,125.4595,607914.0599,4822385.662,125.5767,1
137,Polyline Z,2.539151,2.494248,unknown,sidewalk,3.27519,607914.0599,4822385.662,125.5767,607914.2579,4822388.932,125.6584,1
138,Polyline Z,1.875853,1.67095,unknown,sidewalk,5.372319,607914.2579,4822388.932,125.6584,607916.3602,4822393.875,125.7482,1
139,Polyline Z,0.862263,0.398115,unknown,sidewalk,9.999995,607916.3602,4822393.875,125.7482,607922.3185,4822401.907,125.7872,1
140,Polyline Z,0.692449,0.644255,unknown,sidewalk,6.348946,607934.2352,4822417.969,125.7664,607938.0181,4822423.068,125.8073,1
141,Polyline Z,0.464333,0.215631,unknown,sidewalk,10.000055,607928.2768,4822409.938,125.7614,607934.2352,4822417.969,125.7664,1
142,Polyline Z,0.330768,0.258459,unknown,sidewalk,9.999995,607922.3185,4822401.907,125.7872,607928.2768,4822409.938,125.7614,1
143,Polyline Z,1.225209,0.500149,unknown,sidewalk,10.000055,607938.0181,4822423.068,125.8073,607943.9765,4822431.099,125.7897,1
144,Polyline Z,1.826281,1.608524,unknown,sidewalk,2.074428,607943.9765,4822431.099,125.7897,607945.2125,4822432.765,125.7563,1
145,Polyline Z,5.904188,3.678682,unknown,sidewalk,6.769146,607945.2125,4822432.765,125.7563,607949.1644,4822438.261,125.5074,1
146,Polyline Z,1.446012,1.409192,unknown,sidewalk,3.464882,607914.2579,4822388.932,125.6584,607910.8601,4822389.61,125.7072,1
147,Polyline Z,1.332484,1.075395,unknown,sidewalk,10.000001,607910.8601,4822389.61,125.7072,607901.0537,4822391.568,125.8148,1
148,Polyline Z,0.599661,0.529152,unknown,sidewalk,5.337732,607881.4409,4822395.485,125.7943,607876.2065,4822396.53,125.7661,1
149,Polyline Z,0.631932,0.498216,unknown,sidewalk,10.000001,607891.2473,4822393.526,125.8442,607881.4409,4822395.485,125.7943,1
150,Polyline Z,0.665653,0.316191,unknown,sidewalk,9.999982,607901.0537,4822391.568,125.8148,607891.2473,4822393.526,125.8442,1
151,Polyline Z,2.094055,2.012907,unknown,sidewalk,4.489854,607876.2065,4822396.53,125.7661,607876.4819,4822401.011,125.8565,1
152,Polyline Z,1.500037,1.40551,unknown,sidewalk,3.608697,607876.4819,4822401.011,125.8565,607875.312,4822404.425,125.9072,1
153,Polyline Z,1.00252,0.527923,unknown,sidewalk,7.424436,607875.312,4822404.425,125.9072,607871.9333,4822411.036,125.9454,1
154,Polyline Z,0.616895,0.534117,unknown,sidewalk,6.305584,607871.9333,4822411.036,125.9454,607868.1115,4822416.051,125.9117,1
155,Polyline Z,0.427983,0.221032,unknown,sidewalk,3.901875,607868.1115,4822416.051,125.9117,607864.5469,4822417.638,125.9156,1
