OBJECTID *,start_x,start_y,start_z,end_x,end_y,end_z
352,607894.2849,4822323.424,125.4663,607889.605,4822332.261,125.2086
353,607889.605,4822332.261,125.2086,607888.335,4822334.659,125.1623
354,607889.605,4822332.261,125.2086,607888.335,4822334.659,125.1623
355,607888.335,4822334.659,125.1623,607888.0291,4822336.598,125.1424
356,607888.335,4822334.659,125.1623,607888.0291,4822336.598,125.1424
357,607888.0291,4822336.598,125.1424,607888.6242,4822338.285,125.1361
358,607888.0291,4822336.598,125.1424,607888.6242,4822338.285,125.1361
359,607888.6242,4822338.285,125.1361,607890.0624,4822339.297,125.1415
360,607888.6242,4822338.285,125.1361,607890.0624,4822339.297,125.1415
361,607890.0624,4822339.297,125.1415,607898.3395,4822344.909,125.1137
362,607890.0624,4822339.297,125.1415,607898.3395,4822344.909,125.1137
363,607898.3395,4822344.909,125.1137,607906.6166,4822350.52,125.0683
364,607898.3395,4822344.909,125.1137,607906.6166,4822350.52,125.0683
365,607923.1708,4822361.743,125.0924,607924.5859,4822362.703,125.0978
366,607923.1708,4822361.743,125.0924,607924.5859,4822362.703,125.0978
367,607914.8937,4822356.132,125.0639,607923.1708,4822361.743,125.0924
368,607914.8937,4822356.132,125.0639,607923.1708,4822361.743,125.0924
369,607906.6166,4822350.52,125.0683,607914.8937,4822356.132,125.0639
370,607906.6166,4822350.52,125.0683,607914.8937,4822356.132,125.0639
371,607924.5859,4822362.703,125.0978,607933.1278,4822367.902,125.1065
372,607924.5859,4822362.703,125.0978,607933.1278,4822367.902,125.1065
373,607950.2117,4822378.301,125.0887,607958.7536,4822383.501,125.0797
374,607950.2117,4822378.301,125.0887,607958.7536,4822383.501,125.0797
375,607941.6697,4822373.102,125.0872,607950.2117,4822378.301,125.0887
376,607941.6697,4822373.102,125.0872,607950.2117,4822378.301,125.0887
377,607933.1278,4822367.902,125.1065,607941.6697,4822373.102,125.0872
378,607933.1278,4822367.902,125.1065,607941.6697,4822373.102,125.0872
379,607975.8374,4822393.9,125.032,607981.345,4822397.253,125.0212
380,607975.8374,4822393.9,125.032,607981.345,4822397.253,125.0212
381,607967.2955,4822388.701,125.0468,607975.8374,4822393.9,125.032
382,607967.2955,4822388.701,125.0468,607975.8374,4822393.9,125.032
383,607958.7536,4822383.501,125.0797,607967.2955,4822388.701,125.0468
384,607958.7536,4822383.501,125.0797,607967.2955,4822388.701,125.0468
385,607981.345,4822397.253,125.0212,607986.7689,4822388.851,125.0045
386,607981.345,4822397.253,125.0212,607986.7689,4822388.851,125.0045
387,607986.7689,4822388.851,125.0045,607990.4025,4822383.223,124.9991
388,607986.7689,4822388.851,125.0045,607990.4025,4822383.223,124.9991
